YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,1,1,-999.0,-999.0,-999.0,-999.0,20.28,16.48,18.38,21.19,-260.95,26.86,14.65,,,,,
1981,1,2,-999.0,-999.0,-999.0,-999.0,20.89,18.26,19.58,21.72,-262.0,27.13,15.99,,,,,
1981,1,3,-999.0,-999.0,-999.0,-999.0,22.48,19.33,20.9,22.85,-264.93,26.8,18.58,,,,,
1981,1,4,-999.0,-999.0,-999.0,-999.0,22.96,19.65,21.3,23.51,-264.6,27.5,18.96,,,,,
1981,1,5,-999.0,-999.0,-999.0,-999.0,22.3,19.83,21.07,22.51,-267.77,25.01,19.64,,,,,
1981,1,6,-999.0,-999.0,-999.0,-999.0,22.77,19.94,21.35,22.8,-265.81,26.83,19.49,,,,,
1981,1,7,-999.0,-999.0,-999.0,-999.0,22.46,19.85,21.15,22.81,-264.73,27.29,18.87,,,,,
1981,1,8,-999.0,-999.0,-999.0,-999.0,21.26,19.31,20.29,21.76,-265.31,26.1,18.26,,,,,
1981,1,9,-999.0,-999.0,-999.0,-999.0,21.15,18.85,20.0,21.75,-264.81,26.34,18.01,,,,,
1981,1,10,-999.0,-999.0,-999.0,-999.0,21.87,19.21,20.54,22.51,-264.52,27.14,18.51,,,,,
1981,1,11,-999.0,-999.0,-999.0,-999.0,21.07,19.23,20.15,21.44,-265.56,25.69,18.12,,,,,
1981,1,12,-999.0,-999.0,-999.0,-999.0,21.75,19.64,20.69,22.25,-265.71,26.08,18.65,,,,,
1981,1,13,-999.0,-999.0,-999.0,-999.0,21.58,19.83,20.7,21.76,-267.87,24.61,19.32,,,,,
1981,1,14,-999.0,-999.0,-999.0,-999.0,22.04,20.21,21.12,22.3,-267.57,25.48,19.9,,,,,
1981,1,15,-999.0,-999.0,-999.0,-999.0,21.58,19.87,20.73,21.96,-266.39,25.65,18.9,,,,,
1981,1,16,-999.0,-999.0,-999.0,-999.0,21.65,19.0,20.32,22.67,-263.88,27.18,17.9,,,,,
1981,1,17,-999.0,-999.0,-999.0,-999.0,22.58,19.98,21.27,22.85,-264.11,27.59,18.55,,,,,
1981,1,18,-999.0,-999.0,-999.0,-999.0,22.73,20.51,21.62,22.73,-266.35,26.77,19.98,,,,,
